127.0.0.1, 2015-07-30 16:43:17, GET, /admin/default/design/myapp, HTTP/1.1, 200, 11.416226
127.0.0.1, 2015-07-30 16:44:51, GET, /admin/default/edit/myapp/controllers/default.py, HTTP/1.1, 200, 3.112368
127.0.0.1, 2015-07-30 16:50:09, GET, /admin/static/_2.11.2/codemirror/lib/codemirror.css, HTTP/1.1, 200, 0.034666
127.0.0.1, 2015-07-30 16:50:09, GET, /admin/static/_2.11.2/codemirror/lib/codemirror.js, HTTP/1.1, 200, 0.047497
127.0.0.1, 2015-07-30 16:50:09, GET, /admin/static/_2.11.2/codemirror/theme/web2py.css, HTTP/1.1, 200, 0.071825
127.0.0.1, 2015-07-30 16:50:09, GET, /admin/static/_2.11.2/codemirror/addon/edit/matchbrackets.js, HTTP/1.1, 200, 0.084841
127.0.0.1, 2015-07-30 16:50:09, GET, /admin/static/_2.11.2/codemirror/addon/edit/closetag.js, HTTP/1.1, 200, 0.053089
127.0.0.1, 2015-07-30 16:50:13, GET, /admin/static/_2.11.2/codemirror/mode/xml/xml.js, HTTP/1.1, 200, 0.081131
127.0.0.1, 2015-07-30 16:50:13, GET, /admin/static/_2.11.2/codemirror/mode/javascript/javascript.js, HTTP/1.1, 200, 0.085319
127.0.0.1, 2015-07-30 16:50:13, GET, /admin/static/_2.11.2/codemirror/mode/css/css.js, HTTP/1.1, 200, 0.091474
127.0.0.1, 2015-07-30 16:50:13, GET, /admin/static/_2.11.2/codemirror/mode/htmlmixed/htmlmixed.js, HTTP/1.1, 200, 0.058501
127.0.0.1, 2015-07-30 16:50:13, GET, /admin/static/_2.11.2/codemirror/mode/python/python.js, HTTP/1.1, 200, 0.163915
127.0.0.1, 2015-07-30 16:50:16, GET, /admin/static/_2.11.2/codemirror/addon/hint/show-hint.js, HTTP/1.1, 200, 0.038408
127.0.0.1, 2015-07-30 16:50:16, GET, /admin/static/_2.11.2/codemirror/addon/hint/show-hint.css, HTTP/1.1, 200, 0.037594
127.0.0.1, 2015-07-30 16:50:16, GET, /admin/static/_2.11.2/codemirror/addon/hint/python-hint.js, HTTP/1.1, 200, 0.051111
127.0.0.1, 2015-07-30 16:50:19, GET, /admin/static/_2.11.2/codemirror/addon/search/search.js, HTTP/1.1, 200, 0.030105
127.0.0.1, 2015-07-30 16:50:19, GET, /admin/static/_2.11.2/codemirror/addon/search/searchcursor.js, HTTP/1.1, 200, 0.067183
127.0.0.1, 2015-07-30 16:50:19, GET, /admin/static/_2.11.2/codemirror/addon/dialog/dialog.css, HTTP/1.1, 200, 0.057488
127.0.0.1, 2015-07-30 16:50:19, GET, /admin/static/_2.11.2/codemirror/addon/dialog/dialog.js, HTTP/1.1, 200, 0.091470
127.0.0.1, 2015-07-30 16:50:19, GET, /admin/static/_2.11.2/codemirror/addon/edit/trailingspace.js, HTTP/1.1, 200, 0.103239
127.0.0.1, 2015-07-30 16:50:20, GET, /admin/static/_2.11.2/codemirror/addon/selection/active-line.js, HTTP/1.1, 200, 0.048596
127.0.0.1, 2015-07-30 16:50:20, GET, /admin/static/_2.11.2/codemirror/addon/fold/foldcode.js, HTTP/1.1, 200, 0.080661
127.0.0.1, 2015-07-30 16:50:20, GET, /admin/static/_2.11.2/codemirror/addon/display/fullscreen.js, HTTP/1.1, 200, 0.066989
127.0.0.1, 2015-07-30 16:50:20, GET, /admin/static/_2.11.2/codemirror/addon/display/fullscreen.css, HTTP/1.1, 200, 0.092634
